n_people,n_encounters,n_events,palette_colour_name,type_description,palette_code,type_code,intensity_type,intensity_severity_risk,clinical_focus,service_type,service_location,population_age,facility_name,building_name,unit_name,location_category,location_grouping,location_type,site_key,facility_key,building_key,unit_key
26,303,606,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Sobering & Assessment Centre,Single Rooms,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,SOB,SROOM
25,59,106,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH-Lab Outpatient,Ambulatory,Ambulatory,Laboratory,NA,RJHAC,MAIN,LAB-R
24,121,352,Addictions - Detox (secondary level),Addictions - Detox (secondary level),13,23,"ED, Urgent Care, Acute",Acute Care,MHSU-Addictions,Detox-MHSU,Detox Facility,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,EMP 5A - Medical Detox,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHSCC,EMPM,EM5A
24,44,86,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Medical Imaging Reception,Medical Imaging,Medical Imaging,Medical Imaging,NA,RJHAC,MAIN,Med Img-R
23,48,94,Clinical Intake - Addictions,Clinical Intake - Addictions,65,34,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU-Addictions,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Intake,Withdrawal Management,Withdrawal Management Intake SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCIN,DWITH,ADIK
22,67,1290,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency Psych Beds,Emergency Room,Emergency-Treatment,ER-PES Treatment Room,NA,RJHAC,MAIN,ER-R
20,40,358,Addictions - Detox (secondary level),Addictions - Detox (secondary level),13,23,"ED, Urgent Care, Acute",Acute Care,MHSU-Addictions,Detox-MHSU,Detox Facility,"Adults, some adols, older adults",MHSU - Residential - Stabilization / Supportive Recovery,Royal Jubilee Eric Martin Pavilion,EMP 5A - Detox Unit-RJH,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSR,EMP,EMP5A
20,122,222,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Domiciliary Collections,LAB-VGH Domiciliary,Ambulatory,Ambulatory,Laboratory,NA,IDC,Domiciliary,VDOM
19,304,608,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Pembroke,Sobering and Assessment Centre,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,PEMB,SOB
19,36,83,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Referred In Specimens,Lab-Ref In,Ambulatory,NA,Laboratory,NA,ICS,RefIn,REIN
19,47,126,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Victoria General Hospital Lab,Lab Outpatient-VGH,NA,NA,Unclassified,NA,ICS,VGH-L,LAB-V
18,35,63,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,MHSU - Community - Urgent Episodic,Church Street,Integrated Mobile Crisis Response Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCUE,CHUR,EMHS
18,22,44,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Medical Imaging Reception-RJH,Medical Imaging,NA,Medical Imaging,NA,RJHAC,MAIN,Med Img-R
18,18,35,Other high-intensity community treatment teams (tertiary level),Other high-intensity community treatment teams (tertiary level),52,14,Community Support,High Intensity Community Tx & Support,MHSU,Intensive Case Management (MHSU),Community,"Adults, some adols, older adults",MHSU - Community - Case Mgmt Cross Jurisdictional,Johnson Street,ICMT-Intensive Case Management Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCMC,CUBB,INMT
17,33,387,{Unknown},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,23,420,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Cool Aid Lab Collections,Lab-Cool Aid,NA,NA,Unclassified,NA,ICS,LCAID,LCOOL
16,29,1396,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 4 South East - General Medicine and Medical Assessment Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,4SER
16,36,1082,Acute Care - Psychiatric Intensive care - Adult,Acute Care - Psychiatric Intensive care - Adult,42,8,"ED, Urgent Care, Acute",Intensive Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee - Mental Health,Royal Jubilee - Patient Care Centre,RJH - 1 North West - Psychiatric Intensive Care Unit,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,1NWR
16,39,77,MHSU Specialist Consultation - Acute Care,MHSU Specialist Consultation - Acute Care,83,45,"ED, Urgent Care, Acute",Acute Care,MHSU,Specialist Consultation,Hospital,Mixed Ages,Royal Jubilee Hospital-Mental Health,Royal Jubilee Eric Martin Pavilion,Consultation Liaison-RJH,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,RJHMH,EMP,CLMH
15,16,28,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - ACT Cross Jurisdictional,Pandora,Victoria Integrated Community Outreach Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCACJ,PARA,VICO
14,21,42,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Pandora,ACT Intake - SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,PARA,ACTI
14,26,511,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency Psych Short Stay,Inpatient-Acute,Inpatient-ER,Inpt-Acute-ER-PES,NA,RJHAC,MAIN,ER-R
13,24,1995,Acute Care - Psychiatric Intensive care - Adult,Acute Care - Psychiatric Intensive care - Adult,42,8,"ED, Urgent Care, Acute",Intensive Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee Hospital-Mental Health,Royal Jubilee Patient Care Centre,RJH - 1 North West - Psychiatric Intensive Care Unit,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,1NWR
13,18,697,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee - Mental Health,Royal Jubilee - Patient Care Centre,RJH - 2 North West - General Psychiatry/Schizophrenia,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,2NWR
12,26,242,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,VI Correctional Centre Lab Collections,Lab-VI Correctional Centre,NA,NA,Unclassified,NA,ICS,VICCL,LWKRD
12,25,50,MHSU Specialist Consultation - Acute Care,MHSU Specialist Consultation - Acute Care,83,45,"ED, Urgent Care, Acute",Acute Care,MHSU,Specialist Consultation,Hospital,Mixed Ages,Mental Health & Addictions Services - Acute Care,Royal Jubilee Eric Martin Pavilion,Consultation Liaison,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSAC,EMP,CLMH
12,21,1544,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee Hospital-Mental Health,Royal Jubilee Patient Care Centre,RJH - 2 North West - General Psychiatry/Schizophrenia,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,2NWR
11,16,32,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Quadra Street,Addiction Outpatient Services,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,QUAD,ADOU
11,211,422,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Community - Sobering Assessment,Sobering & Assessment Centre,Male Beds,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSA,SOB,MBED
11,15,307,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency Psych Beds,Emergency Room,Emergency-Treatment,ER-PES Bed-Seclusion,NA,RJHAC,MAIN,ER-R
11,14,25,MHSU - Rehab,MHSU Rehab Services - High Intensity (tertiary level???),56,19,Ambulatory-Chronic,Ambulatory Chronic Care-High Intensity,MHSU,Rehab-MHSU,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Day Hospital,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,DAY
11,12,24,Other high-intensity community treatment teams (tertiary level),Other high-intensity community treatment teams (tertiary level),52,14,Community Support,High Intensity Community Tx & Support,MHSU,Intensive Case Management (MHSU),Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Johnson Street,Intensive Case Management Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,CUBB,INMT
10,13,26,Addictions - Detox (secondary level),Addictions - Detox (secondary level),13,23,"ED, Urgent Care, Acute",Acute Care,MHSU-Addictions,Detox-MHSU,Detox Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Eric Martin Pavilion,EMP 5A - Detox Unit,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,EMP,EM5A
10,11,25,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - ACT,Pandora,Pandora Assertive Community Treatment-Victoria,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCACT,PARA,PASI
10,11,270,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-Treatment Bed,NA,RJHAC,MAIN,ER-R
10,11,305,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-PES Treatment Room,NA,RJHAC,MAIN,EHR
10,11,20,H&CC and Related Supports,H&CC Services,34,59,Community Support,Medium-Intensity Community Tx & Support,Frailty-Mainly ADL,"H&CC Nursing, Support",Home,Mixed Ages,Community Program SI,HCC - SI,HomeCare SI,Community-Home,Community-Home,Community-Home Care,NA,CC,HCSI,INSI
10,11,19,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Tillicum Apts,TILL,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,TILL,TILL
9,52,103,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Community - Sobering Assessment,Sobering & Assessment Centre,Single Rooms,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSA,SOB,SROOM
9,9,22,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Pandora,Pandora Assertive Community Treatment-Victoria,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,PARA,PASI
9,13,242,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-Treatment Bed-Overflow,NA,RJHAC,MAIN,ER-R
9,25,41,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Domiciliary Collections,Lab-VGH Domiciliary,Ambulatory,NA,Laboratory,NA,ICS,DOCI,VDOM
9,13,88,Med-Surg - Ambulatory Episodic - Mixed Ages,Med-Surg - Ambulatory Episodic - Mixed Ages,99,138,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Med-Surg,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Outpatient Parenteral Antibiotic Therapy Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,OPAT
9,11,22,Other high-intensity community treatment teams (tertiary level),Other high-intensity community treatment teams (tertiary level),52,14,Community Support,High Intensity Community Tx & Support,MHSU,Intensive Case Management (MHSU),Community,"Adults, some adols, older adults",MHSU - Community - ICMT,Royal Jubilee Main,Intensive Case Management Team - PES,NA,NA,Unclassified,NA,MHCICM,MAIN,ICMTP
8,10,19,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Substance Use,Quadra Street,Addiction Outpatient Services,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSU,QUADST,ADOU
8,132,264,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Sobering & Assessment Centre,Female Beds,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,SOB,FBED
8,10,53,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - ACT,Seven Oaks,Seven Oaks ACT,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCACT,SOAKS,SEVA
8,11,20,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Church Street,Mental Health Intake - SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,CHUR,INTA
8,14,24,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Cowichan District Hospital - Acute Care,Cowichan District Hospital - Acute Care,CDH - Emergency,Emergency Room,Emergency-General,ER-General,NA,CDH,CDHA,ERCD
8,14,28,H&CC and Related Supports,H&CC Services,34,59,Community Support,Medium-Intensity Community Tx & Support,Frailty-Mainly ADL,"H&CC Nursing, Support",Home,Mixed Ages,Community Program-HomeCare-SI,HCC - SI,HomeCare-SI,Community-Home,Community-Home,Community-Home Care,NA,CC,HCSI,INSI
8,33,412,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Seven Oaks Lab Collections,Lab-Seven Oaks,NA,NA,Unclassified,NA,ICS,SOLC,LSVO
8,8,16,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Supported Appts,Mike Gidora Place,MIKE,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSA,MIKEGP,MIKE
7,10,42,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Tertiary,Seven Oaks,House 4,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRTER,SOAKS,H4
7,12,1127,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 4 South East - General Medicine and Medical Assessment Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,4SER
7,9,864,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - North 6C - Acute Medical/Respiratory,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,N6C
7,8,770,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 4A - Acute Medicine: GI & Medical Short Stay,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,S4A
7,27,150,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Cowichan District Hospital,Cowichan District Hospital,CDH - Emergency,Emergency Room,Emergency-General,ER-General,NA,CDH,CDHA,ERCD
7,14,90,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Saanich Rd Collection Station,LAB-Saanich,Ambulatory,Ambulatory,Laboratory,NA,IDC,Saanich,SRD
7,7,13,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Partnership Medication Clinic,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,PMC
7,7,12,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",MHSU - Residential - Psycho Social Rehab,Tillicum Apts,TILL,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRPSR,TILLAP,TILL
7,7,14,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Cedar Grove,CEDA,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,CEDA,CEDA
7,8,14,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Our Place,OUR PLACE,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,OURP,OUPL
6,21,41,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Seven Oaks,House 4,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,SOAKS,H4
6,6,298,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 4 North West,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,4NWR
6,8,2046,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 3 North East - Clinical Teaching Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,3NER
